"Carimbo de data/hora","Which better describes your professional background?","Where are you based?","How often do you use Generative AI to assist your work tasks?","Have you tried using AI to generate UI mockups or prototypes before?","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","The generated interface accurately reflects the specific application type and functional context (e.g., login, onboarding, e-commerce) defined in the prompt.","The generated UI effectively balances structural adherence to the sketch with creative design generation.","The key interface elements (CTAs and titles) stand out effectively within the visual hierarchy.","The overall UI aesthetics are professional and meet current industry standards.","The generated UI is technically feasible and could be implemented by a frontend developer without major restructuring.","The quality of the generated UI meets my professional expectations for an AI-assisted design tool.","Thoughts/Comments (optional)"
"2026/03/24 10:11:22 AM GMT-3","UI Designer / UX researcher","Brazil","Daily","Yes","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Disagree","Agree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Strongly Disagree",""
"2026/03/24 11:03:50 AM GMT-3","UI Designer / UX researcher","Brazil","Daily","Yes","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Strongly Disagree","Agree","Disagree","Disagree","Agree","Neutral","Disagree","As a UX/UI designer, I think generative AI will bring drastic changes to how the typical designer workflow has been done in the past 10 years. That being said, I don't think it will replace designers' capacity for defining problems and how to solve them. I also believe hard work, iteration, and craft will still persist in AI-enhanced workflows. Although the tools are changing, along with the velocity and scope of what UX/UI design work is, matters of what makes a product great for users, as well as how to approach undefined problems and new challenges, remain very much human abilities."
"2026/03/24 12:26:36 PM GMT-3","Frontend / UI Engineer","United States of America","Daily","Yes","Disagree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Agree","UI often misses a button placement or visual polish which would force re-prompting or human programming to fix."
"2026/03/24 1:47:49 PM GMT-3","UI Designer / UX researcher","United States of America","Daily","Yes","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree",""
"2026/03/24 8:21:15 PM GMT-3","Frontend / UI Engineer","Brazil","Daily","No","Agree","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Neutral",""
"2026/03/28 4:24:26 PM GMT-3","Frontend / UI Engineer","Brazil","Often (a few days in a week)","Yes","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",""
"2026/03/28 5:30:57 PM GMT-3","Frontend / UI Engineer","Brazil","Often (a few days in a week)","Yes","Neutral","Agree","Neutral","Agree","Disagree","Neutral","Agree","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Currently, this resource can be used during brainstorming sessions or to generate ideas before starting to produce content. It can also be used as a template, as a ""Ground Zero”."
"2026/03/29 6:15:08 PM GMT-3","UI Designer / UX researcher","Brazil","Daily","Yes","Agree","Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral",""
"2026/03/30 7:28:20 PM GMT-3","Frontend / UI Engineer","United States of America","Daily","Yes","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",""
"2026/03/31 11:04:46 AM GMT-3","Frontend / UI Engineer","Brazil","Daily","Yes","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree",""
"2026/04/02 3:04:28 PM GMT-3","UI Designer / UX researcher","United States of America","Daily","Yes","Disagree","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Neutral",""
